,Values
alpha,-0.00041809676805633724
Consume,0.05770834337060473
Manufacture,0.03452643114116336
Hi-Tech,0.0464876434863128
Health,0.7683106337415905
Other,-0.046396168677894645
p_value_alpha,0.8499059579473158
p_value_cnsmr,0.567290600102317
p_value_manuf,0.7220376739574738
p_value_hitech,0.6135988684371683
p_value_hlth,9.148478691519413e-15
p_value_other,0.634385532324385
t_value_alpha,-0.1901316868162792
t_value_cnsmr,0.5755146190079367
t_value_manuf,0.35756460809820584
t_value_hitech,0.5078361996191657
t_value_hlth,10.508935667251905
t_value_other,-0.4782250046004488
rsquared,0.85940058599966
